13:43:33.854 INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver (restartedMain) [c.n.d.s.r.aws.ConfigClusterResolver]
				-- Resolving eureka endpoints via configuration
13:43:33.907 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Disable delta property : false
13:43:33.908 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Single vip registry refresh property : null
13:43:33.908 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Force full registry fetch : false
13:43:33.908 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Application is null : false
13:43:33.909 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Registered Applications size is zero : true
13:43:33.910 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Application version is -1: true
13:43:33.910 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Getting all instance registry info from the eureka server
13:43:34.405 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- The response status is 200
13:43:34.409 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Starting heartbeat executor: renew interval is: 30
13:43:34.413 INFO  com.netflix.discovery.InstanceInfoReplicator (restartedMain) [c.n.discovery.InstanceInfoReplicator]
				-- InstanceInfoReplicator onDemand update allowed rate per min is 4
13:43:34.419 INFO  com.netflix.discovery.DiscoveryClient (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Discovery Client initialized at timestamp 1657268014418 with initial instances count: 2
13:43:34.422 INFO  org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry (restartedMain) [o.s.c.n.e.s.EurekaServiceRegistry]
				-- Registering application DEPARTMENT-SERVICE with eureka with status UP
13:43:34.423 INFO  com.netflix.discovery.DiscoveryClient$3 (restartedMain) [c.netflix.discovery.DiscoveryClient]
				-- Saw local status change event StatusChangeEvent [timestamp=1657268014423, current=UP, previous=STARTING]
13:43:34.425 INFO  com.netflix.discovery.DiscoveryClient (DiscoveryClient-InstanceInfoReplicator-0) [c.netflix.discovery.DiscoveryClient]
				-- DiscoveryClient_DEPARTMENT-SERVICE/VSP-JSZ3JL3:DEPARTMENT-SERVICE:8087: registering service...
13:43:34.460 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer (restartedMain) [o.s.b.w.e.tomcat.TomcatWebServer]
				-- Tomcat started on port(s): 8087 (http) with context path ''
13:43:34.462 INFO  org.springframework.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration (restartedMain) [o.s.c.n.e.s.EurekaAutoServiceRegistration]
				-- Updating port to 8087
13:43:34.488 INFO  com.netflix.discovery.DiscoveryClient (DiscoveryClient-InstanceInfoReplicator-0) [c.netflix.discovery.DiscoveryClient]
				-- DiscoveryClient_DEPARTMENT-SERVICE/VSP-JSZ3JL3:DEPARTMENT-SERVICE:8087 - registration status: 204
13:43:34.726 INFO  org.springframework.boot.StartupInfoLogger (restartedMain) [c.j.department.DepartmentApplication]
				-- Started DepartmentApplication in 10.919 seconds (JVM running for 12.33)
13:48:33.930 INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver (AsyncResolver-bootstrap-executor-0) [c.n.d.s.r.aws.ConfigClusterResolver]
				-- Resolving eureka endpoints via configuration
13:51:03.242 INFO  org.apache.juli.logging.DirectJDKLog (http-nio-8087-exec-1) [o.a.c.c.C.[Tomcat].[localhost].[/]]
				-- Initializing Spring DispatcherServlet 'dispatcherServlet'
13:51:03.242 INFO  org.springframework.web.servlet.FrameworkServlet (http-nio-8087-exec-1) [o.s.web.servlet.DispatcherServlet]
				-- Initializing Servlet 'dispatcherServlet'
13:51:03.244 INFO  org.springframework.web.servlet.FrameworkServlet (http-nio-8087-exec-1) [o.s.web.servlet.DispatcherServlet]
				-- Completed initialization in 2 ms
13:51:03.289 INFO  com.javafsd.department.controller.DepartmentController (http-nio-8087-exec-1) [c.j.d.c.DepartmentController]
				-- Inside fetchDepartmentById method
13:51:03.353 INFO  com.javafsd.department.controller.DepartmentController (http-nio-8087-exec-1) [c.j.d.c.DepartmentController]
				-- Inside fetchDepartmentById method, Response : Department(departmentId=6, departmentName=Dean, departmentAddress=Noida, departmentCode=De232)
13:51:16.639 INFO  com.javafsd.department.controller.DepartmentController (http-nio-8087-exec-2) [c.j.d.c.DepartmentController]
				-- Inside fetchDepartmentById method
13:51:16.648 INFO  com.javafsd.department.controller.DepartmentController (http-nio-8087-exec-2) [c.j.d.c.DepartmentController]
				-- Inside fetchDepartmentById method, Response : Department(departmentId=6, departmentName=Dean, departmentAddress=Noida, departmentCode=De232)
